surah_id,ayah_id,surah_title_ar,surah_title_en,surah_title_en_trans,revelation_type,text,surah,ayah,ayah_title,juz,manzil,page,hizb_quarter,sajda,sajda_id,sajda_recommended,sajda_obligatory
1,1,الفاتحة,Al-Faatiha,The Opening,Meccan,﻿بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ,1,1,1:1,1,1,1,1,FALSE,,,
1,2,الفاتحة,Al-Faatiha,The Opening,Meccan,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,1,2,1:2,1,1,1,1,FALSE,,,
1,3,الفاتحة,Al-Faatiha,The Opening,Meccan,الرَّحْمَٰنِ الرَّحِيمِ,1,3,1:3,1,1,1,1,FALSE,,,
1,4,الفاتحة,Al-Faatiha,The Opening,Meccan,مَالِكِ يَوْمِ الدِّينِ,1,4,1:4,1,1,1,1,FALSE,,,
1,5,الفاتحة,Al-Faatiha,The Opening,Meccan,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,1,5,1:5,1,1,1,1,FALSE,,,
1,6,الفاتحة,Al-Faatiha,The Opening,Meccan,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,1,6,1:6,1,1,1,1,FALSE,,,
1,7,الفاتحة,Al-Faatiha,The Opening,Meccan,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,1,7,1:7,1,1,1,1,FALSE,,,
2,8,البقرة,Al-Baqara,The Cow,Medinan,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,2,1,2:1,1,1,2,1,FALSE,,,
2,9,البقرة,Al-Baqara,The Cow,Medinan,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِلْمُتَّقِينَ,2,2,2:2,1,1,2,1,FALSE,,,
2,10,البقرة,Al-Baqara,The Cow,Medinan,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ,2,3,2:3,1,1,2,1,FALSE,,,
2,11,البقرة,Al-Baqara,The Cow,Medinan,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,2,4,2:4,1,1,2,1,FALSE,,,
2,12,البقرة,Al-Baqara,The Cow,Medinan,أُولَٰئِكَ عَلَىٰ هُدًى مِنْ رَبِّهِمْ ۖ وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,2,5,2:5,1,1,2,1,FALSE,,,
2,13,البقرة,Al-Baqara,The Cow,Medinan,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنْذَرْتَهُمْ أَمْ لَمْ تُنْذِرْهُمْ لَا يُؤْمِنُونَ,2,6,2:6,1,1,3,1,FALSE,,,
2,14,البقرة,Al-Baqara,The Cow,Medinan,خَتَمَ اللَّهُ عَلَىٰ قُلُوبِهِمْ وَعَلَىٰ سَمْعِهِمْ ۖ وَعَلَىٰ أَبْصَارِهِمْ غِشَاوَةٌ ۖ وَلَهُمْ عَذَابٌ عَظِيمٌ,2,7,2:7,1,1,3,1,FALSE,,,
2,15,البقرة,Al-Baqara,The Cow,Medinan,وَمِنَ النَّاسِ مَنْ يَقُولُ آمَنَّا بِاللَّهِ وَبِالْيَوْمِ الْآخِرِ وَمَا هُمْ بِمُؤْمِنِينَ,2,8,2:8,1,1,3,1,FALSE,,,
2,16,البقرة,Al-Baqara,The Cow,Medinan,يُخَادِعُونَ اللَّهَ وَالَّذِينَ آمَنُوا وَمَا يَخْدَعُونَ إِلَّا أَنْفُسَهُمْ وَمَا يَشْعُرُونَ,2,9,2:9,1,1,3,1,FALSE,,,
2,17,البقرة,Al-Baqara,The Cow,Medinan,فِي قُلُوبِهِمْ مَرَضٌ فَزَادَهُمُ اللَّهُ مَرَضًا ۖ وَلَهُمْ عَذَابٌ أَلِيمٌ بِمَا كَانُوا يَكْذِبُونَ,2,10,2:10,1,1,3,1,FALSE,,,
2,18,البقرة,Al-Baqara,The Cow,Medinan,وَإِذَا قِيلَ لَهُمْ لَا تُفْسِدُوا فِي الْأَرْضِ قَالُوا إِنَّمَا نَحْنُ مُصْلِحُونَ,2,11,2:11,1,1,3,1,FALSE,,,
2,19,البقرة,Al-Baqara,The Cow,Medinan,أَلَا إِنَّهُمْ هُمُ الْمُفْسِدُونَ وَلَٰكِنْ لَا يَشْعُرُونَ,2,12,2:12,1,1,3,1,FALSE,,,
2,20,البقرة,Al-Baqara,The Cow,Medinan,وَإِذَا قِيلَ لَهُمْ آمِنُوا كَمَا آمَنَ النَّاسُ قَالُوا أَنُؤْمِنُ كَمَا آمَنَ السُّفَهَاءُ ۗ أَلَا إِنَّهُمْ هُمُ السُّفَهَاءُ وَلَٰكِنْ لَا يَعْلَمُونَ,2,13,2:13,1,1,3,1,FALSE,,,
2,21,البقرة,Al-Baqara,The Cow,Medinan,وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَوْا إِلَىٰ شَيَاطِينِهِمْ قَالُوا إِنَّا مَعَكُمْ إِنَّمَا نَحْنُ مُسْتَهْزِئُونَ,2,14,2:14,1,1,3,1,FALSE,,,
2,22,البقرة,Al-Baqara,The Cow,Medinan,اللَّهُ يَسْتَهْزِئُ بِهِمْ وَيَمُدُّهُمْ فِي طُغْيَانِهِمْ يَعْمَهُونَ,2,15,2:15,1,1,3,1,FALSE,,,
2,23,البقرة,Al-Baqara,The Cow,Medinan,أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الضَّلَالَةَ بِالْهُدَىٰ فَمَا رَبِحَتْ تِجَارَتُهُمْ وَمَا كَانُوا مُهْتَدِينَ,2,16,2:16,1,1,3,1,FALSE,,,
2,24,البقرة,Al-Baqara,The Cow,Medinan,مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُمْ فِي ظُلُمَاتٍ لَا يُبْصِرُونَ,2,17,2:17,1,1,4,1,FALSE,,,
2,25,البقرة,Al-Baqara,The Cow,Medinan,صُمٌّ بُكْمٌ عُمْيٌ فَهُمْ لَا يَرْجِعُونَ,2,18,2:18,1,1,4,1,FALSE,,,
2,26,البقرة,Al-Baqara,The Cow,Medinan,أَوْ كَصَيِّبٍ مِنَ السَّمَاءِ فِيهِ ظُلُمَاتٌ وَرَعْدٌ وَبَرْقٌ يَجْعَلُونَ أَصَابِعَهُمْ فِي آذَانِهِمْ مِنَ الصَّوَاعِقِ حَذَرَ الْمَوْتِ ۚ وَاللَّهُ مُحِيطٌ بِالْكَافِرِينَ,2,19,2:19,1,1,4,1,FALSE,,,
2,27,البقرة,Al-Baqara,The Cow,Medinan,يَكَادُ الْبَرْقُ يَخْطَفُ أَبْصَارَهُمْ ۖ كُلَّمَا أَضَاءَ لَهُمْ مَشَوْا فِيهِ وَإِذَا أَظْلَمَ عَلَيْهِمْ قَامُوا ۚ وَلَوْ شَاءَ اللَّهُ لَذَهَبَ بِسَمْعِهِمْ وَأَبْصَارِهِمْ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ,2,20,2:20,1,1,4,1,FALSE,,,
2,28,البقرة,Al-Baqara,The Cow,Medinan,يَا أَيُّهَا النَّاسُ اعْبُدُوا رَبَّكُمُ الَّذِي خَلَقَكُمْ وَالَّذِينَ مِنْ قَبْلِكُمْ لَعَلَّكُمْ تَتَّقُونَ,2,21,2:21,1,1,4,1,FALSE,,,
2,29,البقرة,Al-Baqara,The Cow,Medinan,الَّذِي جَعَلَ لَكُمُ الْأَرْضَ فِرَاشًا وَالسَّمَاءَ بِنَاءً وَأَنْزَلَ مِنَ السَّمَاءِ مَاءً فَأَخْرَجَ بِهِ مِنَ الثَّمَرَاتِ رِزْقًا لَكُمْ ۖ فَلَا تَجْعَلُوا لِلَّهِ أَنْدَادًا وَأَنْتُمْ تَعْلَمُونَ,2,22,2:22,1,1,4,1,FALSE,,,
2,30,البقرة,Al-Baqara,The Cow,Medinan,وَإِنْ كُنْتُمْ فِي رَيْبٍ مِمَّا نَزَّلْنَا عَلَىٰ عَبْدِنَا فَأْتُوا بِسُورَةٍ مِنْ مِثْلِهِ وَادْعُوا شُهَدَاءَكُمْ مِنْ دُونِ اللَّهِ إِنْ كُنْتُمْ صَادِقِينَ,2,23,2:23,1,1,4,1,FALSE,,,
2,31,البقرة,Al-Baqara,The Cow,Medinan,فَإِنْ لَمْ تَفْعَلُوا وَلَنْ تَفْعَلُوا فَاتَّقُوا النَّارَ الَّتِي وَقُودُهَا النَّاسُ وَالْحِجَارَةُ ۖ أُعِدَّتْ لِلْكَافِرِينَ,2,24,2:24,1,1,4,1,FALSE,,,
2,32,البقرة,Al-Baqara,The Cow,Medinan,وَبَشِّرِ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أَنَّ لَهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ ۖ كُلَّمَا رُزِقُوا مِنْهَا مِنْ ثَمَرَةٍ رِزْقًا ۙ قَالُوا هَٰذَا الَّذِي رُزِقْنَا مِنْ قَبْلُ ۖ وَأُتُوا بِهِ مُتَشَابِهًا ۖ وَلَهُمْ فِيهَا أَزْوَاجٌ مُطَهَّرَةٌ ۖ وَهُمْ فِيهَا خَالِدُونَ,2,25,2:25,1,1,5,1,FALSE,,,
2,33,البقرة,Al-Baqara,The Cow,Medinan,۞ إِنَّ اللَّهَ لَا يَسْتَحْيِي أَنْ يَضْرِبَ مَثَلًا مَا بَعُوضَةً فَمَا فَوْقَهَا ۚ فَأَمَّا الَّذِينَ آمَنُوا فَيَعْلَمُونَ أَنَّهُ الْحَقُّ مِنْ رَبِّهِمْ ۖ وَأَمَّا الَّذِينَ كَفَرُوا فَيَقُولُونَ مَاذَا أَرَادَ اللَّهُ بِهَٰذَا مَثَلًا ۘ يُضِلُّ بِهِ كَثِيرًا وَيَهْدِي بِهِ كَثِيرًا ۚ وَمَا يُضِلُّ بِهِ إِلَّا الْفَاسِقِينَ,2,26,2:26,1,1,5,2,FALSE,,,
2,34,البقرة,Al-Baqara,The Cow,Medinan,الَّذِينَ يَنْقُضُونَ عَهْدَ اللَّهِ مِنْ بَعْدِ مِيثَاقِهِ وَيَقْطَعُونَ مَا أَمَرَ اللَّهُ بِهِ أَنْ يُوصَلَ وَيُفْسِدُونَ فِي الْأَرْضِ ۚ أُولَٰئِكَ هُمُ الْخَاسِرُونَ,2,27,2:27,1,1,5,2,FALSE,,,
2,35,البقرة,Al-Baqara,The Cow,Medinan,كَيْفَ تَكْفُرُونَ بِاللَّهِ وَكُنْتُمْ أَمْوَاتًا فَأَحْيَاكُمْ ۖ ثُمَّ يُمِيتُكُمْ ثُمَّ يُحْيِيكُمْ ثُمَّ إِلَيْهِ تُرْجَعُونَ,2,28,2:28,1,1,5,2,FALSE,,,
2,36,البقرة,Al-Baqara,The Cow,Medinan,هُوَ الَّذِي خَلَقَ لَكُمْ مَا فِي الْأَرْضِ جَمِيعًا ثُمَّ اسْتَوَىٰ إِلَى السَّمَاءِ فَسَوَّاهُنَّ سَبْعَ سَمَاوَاتٍ ۚ وَهُوَ بِكُلِّ شَيْءٍ عَلِيمٌ,2,29,2:29,1,1,5,2,FALSE,,,
2,37,البقرة,Al-Baqara,The Cow,Medinan,وَإِذْ قَالَ رَبُّكَ لِلْمَلَائِكَةِ إِنِّي جَاعِلٌ فِي الْأَرْضِ خَلِيفَةً ۖ قَالُوا أَتَجْعَلُ فِيهَا مَنْ يُفْسِدُ فِيهَا وَيَسْفِكُ الدِّمَاءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّي أَعْلَمُ مَا لَا تَعْلَمُونَ,2,30,2:30,1,1,6,2,FALSE,,,
2,38,البقرة,Al-Baqara,The Cow,Medinan,وَعَلَّمَ آدَمَ الْأَسْمَاءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى الْمَلَائِكَةِ فَقَالَ أَنْبِئُونِي بِأَسْمَاءِ هَٰؤُلَاءِ إِنْ كُنْتُمْ صَادِقِينَ,2,31,2:31,1,1,6,2,FALSE,,,
2,39,البقرة,Al-Baqara,The Cow,Medinan,قَالُوا سُبْحَانَكَ لَا عِلْمَ لَنَا إِلَّا مَا عَلَّمْتَنَا ۖ إِنَّكَ أَنْتَ الْعَلِيمُ الْحَكِيمُ,2,32,2:32,1,1,6,2,FALSE,,,
2,40,البقرة,Al-Baqara,The Cow,Medinan,قَالَ يَا آدَمُ أَنْبِئْهُمْ بِأَسْمَائِهِمْ ۖ فَلَمَّا أَنْبَأَهُمْ بِأَسْمَائِهِمْ قَالَ أَلَمْ أَقُلْ لَكُمْ إِنِّي أَعْلَمُ غَيْبَ السَّمَاوَاتِ وَالْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنْتُمْ تَكْتُمُونَ,2,33,2:33,1,1,6,2,FALSE,,,
2,41,البقرة,Al-Baqara,The Cow,Medinan,وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ أَبَىٰ وَاسْتَكْبَرَ وَكَانَ مِنَ الْكَافِرِينَ,2,34,2:34,1,1,6,2,FALSE,,,
2,42,البقرة,Al-Baqara,The Cow,Medinan,وَقُلْنَا يَا آدَمُ اسْكُنْ أَنْتَ وَزَوْجُكَ الْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ الشَّجَرَةَ فَتَكُونَا مِنَ الظَّالِمِينَ,2,35,2:35,1,1,6,2,FALSE,,,
2,43,البقرة,Al-Baqara,The Cow,Medinan,فَأَزَلَّهُمَا الشَّيْطَانُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا اهْبِطُوا بَعْضُكُمْ لِبَعْضٍ عَدُوٌّ ۖ وَلَكُمْ فِي الْأَرْضِ مُسْتَقَرٌّ وَمَتَاعٌ إِلَىٰ حِينٍ,2,36,2:36,1,1,6,2,FALSE,,,
2,44,البقرة,Al-Baqara,The Cow,Medinan,فَتَلَقَّىٰ آدَمُ مِنْ رَبِّهِ كَلِمَاتٍ فَتَابَ عَلَيْهِ ۚ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ,2,37,2:37,1,1,6,2,FALSE,,,
2,45,البقرة,Al-Baqara,The Cow,Medinan,قُلْنَا اهْبِطُوا مِنْهَا جَمِيعًا ۖ فَإِمَّا يَأْتِيَنَّكُمْ مِنِّي هُدًى فَمَنْ تَبِعَ هُدَايَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,2,38,2:38,1,1,7,2,FALSE,,,
