surah_id,ayah_id,surah_title_ar,surah_title_en,surah_title_en_trans,revelation_type,text,surah,ayah,ayah_title,juz,manzil,page,hizb_quarter,sajda,sajda_id,sajda_recommended,sajda_obligatory
1,1,الفاتحة,Al-Faatiha,The Opening,Meccan,"In the name of Allah, the Entirely Merciful, the Especially Merciful.",1,1,1:1,1,1,1,1,FALSE,,,
1,2,الفاتحة,Al-Faatiha,The Opening,Meccan,"[All] praise is [due] to Allah, Lord of the worlds -",1,2,1:2,1,1,1,1,FALSE,,,
1,3,الفاتحة,Al-Faatiha,The Opening,Meccan,"The Entirely Merciful, the Especially Merciful,",1,3,1:3,1,1,1,1,FALSE,,,
1,4,الفاتحة,Al-Faatiha,The Opening,Meccan,Sovereign of the Day of Recompense.,1,4,1:4,1,1,1,1,FALSE,,,
1,5,الفاتحة,Al-Faatiha,The Opening,Meccan,It is You we worship and You we ask for help.,1,5,1:5,1,1,1,1,FALSE,,,
1,6,الفاتحة,Al-Faatiha,The Opening,Meccan,Guide us to the straight path -,1,6,1:6,1,1,1,1,FALSE,,,
1,7,الفاتحة,Al-Faatiha,The Opening,Meccan,"The path of those upon whom You have bestowed favor, not of those who have evoked [Your] anger or of those who are astray.",1,7,1:7,1,1,1,1,FALSE,,,
2,8,البقرة,Al-Baqara,The Cow,Medinan,"Alif, Lam, Meem.",2,1,2:1,1,1,2,1,FALSE,,,
2,9,البقرة,Al-Baqara,The Cow,Medinan,"This is the Book about which there is no doubt, a guidance for those conscious of Allah -",2,2,2:2,1,1,2,1,FALSE,,,
2,10,البقرة,Al-Baqara,The Cow,Medinan,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them,",2,3,2:3,1,1,2,1,FALSE,,,
2,11,البقرة,Al-Baqara,The Cow,Medinan,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",2,4,2:4,1,1,2,1,FALSE,,,
2,12,البقرة,Al-Baqara,The Cow,Medinan,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",2,5,2:5,1,1,2,1,FALSE,,,
2,13,البقرة,Al-Baqara,The Cow,Medinan,"Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",2,6,2:6,1,1,3,1,FALSE,,,
2,14,البقرة,Al-Baqara,The Cow,Medinan,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",2,7,2:7,1,1,3,1,FALSE,,,
2,15,البقرة,Al-Baqara,The Cow,Medinan,"And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.",2,8,2:8,1,1,3,1,FALSE,,,
2,16,البقرة,Al-Baqara,The Cow,Medinan,"They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.",2,9,2:9,1,1,3,1,FALSE,,,
2,17,البقرة,Al-Baqara,The Cow,Medinan,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.",2,10,2:10,1,1,3,1,FALSE,,,
2,18,البقرة,Al-Baqara,The Cow,Medinan,"And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""",2,11,2:11,1,1,3,1,FALSE,,,
2,19,البقرة,Al-Baqara,The Cow,Medinan,"Unquestionably, it is they who are the corrupters, but they perceive [it] not.",2,12,2:12,1,1,3,1,FALSE,,,
2,20,البقرة,Al-Baqara,The Cow,Medinan,"And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.",2,13,2:13,1,1,3,1,FALSE,,,
2,21,البقرة,Al-Baqara,The Cow,Medinan,"And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers.""",2,14,2:14,1,1,3,1,FALSE,,,
2,22,البقرة,Al-Baqara,The Cow,Medinan,[But] Allah mocks them and prolongs them in their transgression [while] they wander blindly.,2,15,2:15,1,1,3,1,FALSE,,,
2,23,البقرة,Al-Baqara,The Cow,Medinan,"Those are the ones who have purchased error [in exchange] for guidance, so their transaction has brought no profit, nor were they guided.",2,16,2:16,1,1,3,1,FALSE,,,
2,24,البقرة,Al-Baqara,The Cow,Medinan,"Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see.",2,17,2:17,1,1,4,1,FALSE,,,
2,25,البقرة,Al-Baqara,The Cow,Medinan,"Deaf, dumb and blind - so they will not return [to the right path].",2,18,2:18,1,1,4,1,FALSE,,,
