surah_id,ayah_id,surah_title_ar,surah_title_en,surah_title_en_trans,revelation_type,text,surah,ayah,ayah_title,juz,manzil,page,hizb_quarter,sajda,sajda_id,sajda_recommended,sajda_obligatory
1,1,الفاتحة,Al-Faatiha,The Opening,Meccan,"In the name of Allah, Most Gracious, Most Merciful.",1,1,1:1,1,1,1,1,FALSE,,,
1,2,الفاتحة,Al-Faatiha,The Opening,Meccan,"Praise be to Allah, the Cherisher and Sustainer of the worlds;",1,2,1:2,1,1,1,1,FALSE,,,
1,3,الفاتحة,Al-Faatiha,The Opening,Meccan,"Most Gracious, Most Merciful;",1,3,1:3,1,1,1,1,FALSE,,,
1,4,الفاتحة,Al-Faatiha,The Opening,Meccan,Master of the Day of Judgment.,1,4,1:4,1,1,1,1,FALSE,,,
1,5,الفاتحة,Al-Faatiha,The Opening,Meccan,"Thee do we worship, and Thine aid we seek.",1,5,1:5,1,1,1,1,FALSE,,,
1,6,الفاتحة,Al-Faatiha,The Opening,Meccan,"Show us the straight way,",1,6,1:6,1,1,1,1,FALSE,,,
1,7,الفاتحة,Al-Faatiha,The Opening,Meccan,"The way of those on whom Thou hast bestowed Thy Grace, those whose (portion) is not wrath, and who go not astray.",1,7,1:7,1,1,1,1,FALSE,,,
2,8,البقرة,Al-Baqara,The Cow,Medinan,A. L. M.,2,1,2:1,1,1,2,1,FALSE,,,
2,9,البقرة,Al-Baqara,The Cow,Medinan,"This is the Book; in it is guidance sure, without doubt, to those who fear Allah;",2,2,2:2,1,1,2,1,FALSE,,,
2,10,البقرة,Al-Baqara,The Cow,Medinan,"Who believe in the Unseen, are steadfast in prayer, and spend out of what We have provided for them;",2,3,2:3,1,1,2,1,FALSE,,,
2,11,البقرة,Al-Baqara,The Cow,Medinan,"And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter.",2,4,2:4,1,1,2,1,FALSE,,,
2,12,البقرة,Al-Baqara,The Cow,Medinan,"They are on (true) guidance, from their Lord, and it is these who will prosper.",2,5,2:5,1,1,2,1,FALSE,,,
2,13,البقرة,Al-Baqara,The Cow,Medinan,"As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe.",2,6,2:6,1,1,3,1,FALSE,,,
2,14,البقرة,Al-Baqara,The Cow,Medinan,"Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur).",2,7,2:7,1,1,3,1,FALSE,,,
2,15,البقرة,Al-Baqara,The Cow,Medinan,"Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe.",2,8,2:8,1,1,3,1,FALSE,,,
2,16,البقرة,Al-Baqara,The Cow,Medinan,"Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!",2,9,2:9,1,1,3,1,FALSE,,,
2,17,البقرة,Al-Baqara,The Cow,Medinan,"In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves).",2,10,2:10,1,1,3,1,FALSE,,,
2,18,البقرة,Al-Baqara,The Cow,Medinan,"When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!""",2,11,2:11,1,1,3,1,FALSE,,,
2,19,البقرة,Al-Baqara,The Cow,Medinan,"Of a surety, they are the ones who make mischief, but they realise (it) not.",2,12,2:12,1,1,3,1,FALSE,,,
2,20,البقرة,Al-Baqara,The Cow,Medinan,"When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know.",2,13,2:13,1,1,3,1,FALSE,,,
2,21,البقرة,Al-Baqara,The Cow,Medinan,"When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting.""",2,14,2:14,1,1,3,1,FALSE,,,
2,22,البقرة,Al-Baqara,The Cow,Medinan,"Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro).",2,15,2:15,1,1,3,1,FALSE,,,
2,23,البقرة,Al-Baqara,The Cow,Medinan,"These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,",2,16,2:16,1,1,3,1,FALSE,,,
2,24,البقرة,Al-Baqara,The Cow,Medinan,"Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see.",2,17,2:17,1,1,4,1,FALSE,,,
2,25,البقرة,Al-Baqara,The Cow,Medinan,"Deaf, dumb, and blind, they will not return (to the path).",2,18,2:18,1,1,4,1,FALSE,,,
2,26,البقرة,Al-Baqara,The Cow,Medinan,"Or (another similitude) is that of a rain-laden cloud from the sky: In it are zones of darkness, and thunder and lightning: They press their fingers in their ears to keep out the stunning thunder-clap, the while they are in terror of death. But Allah is ever round the rejecters of Faith!",2,19,2:19,1,1,4,1,FALSE,,,
2,27,البقرة,Al-Baqara,The Cow,Medinan,"The lightning all but snatches away their sight; every time the light (Helps) them, they walk therein, and when the darkness grows on them, they stand still. And if Allah willed, He could take away their faculty of hearing and seeing; for Allah hath power over all things.",2,20,2:20,1,1,4,1,FALSE,,,
2,28,البقرة,Al-Baqara,The Cow,Medinan,"O ye people! Adore your Guardian-Lord, who created you and those who came before you, that ye may have the chance to learn righteousness;",2,21,2:21,1,1,4,1,FALSE,,,
2,29,البقرة,Al-Baqara,The Cow,Medinan,"Who has made the earth your couch, and the heavens your canopy; and sent down rain from the heavens; and brought forth therewith Fruits for your sustenance; then set not up rivals unto Allah when ye know (the truth).",2,22,2:22,1,1,4,1,FALSE,,,
2,30,البقرة,Al-Baqara,The Cow,Medinan,"And if ye are in doubt as to what We have revealed from time to time to Our servant, then produce a Sura like thereunto; and call your witnesses or helpers (If there are any) besides Allah, if your (doubts) are true.",2,23,2:23,1,1,4,1,FALSE,,,
2,31,البقرة,Al-Baqara,The Cow,Medinan,"But if ye cannot- and of a surety ye cannot- then fear the Fire whose fuel is men and stones,- which is prepared for those who reject Faith.",2,24,2:24,1,1,4,1,FALSE,,,
2,32,البقرة,Al-Baqara,The Cow,Medinan,"But give glad tidings to those who believe and work righteousness, that their portion is Gardens, beneath which rivers flow. Every time they are fed with fruits therefrom, they say: ""Why, this is what we were fed with before,"" for they are given things in similitude; and they have therein companions pure (and holy); and they abide therein (for ever).",2,25,2:25,1,1,5,1,FALSE,,,
2,33,البقرة,Al-Baqara,The Cow,Medinan,"Allah disdains not to use the similitude of things, lowest as well as highest. Those who believe know that it is truth from their Lord; but those who reject Faith say: ""What means Allah by this similitude?"" By it He causes many to stray, and many He leads into the right path; but He causes not to stray, except those who forsake (the path),-",2,26,2:26,1,1,5,2,FALSE,,,
2,34,البقرة,Al-Baqara,The Cow,Medinan,"Those who break Allah's Covenant after it is ratified, and who sunder what Allah Has ordered to be joined, and do mischief on earth: These cause loss (only) to themselves.",2,27,2:27,1,1,5,2,FALSE,,,
2,35,البقرة,Al-Baqara,The Cow,Medinan,"How can ye reject the faith in Allah?- seeing that ye were without life, and He gave you life; then will He cause you to die, and will again bring you to life; and again to Him will ye return.",2,28,2:28,1,1,5,2,FALSE,,,
2,36,البقرة,Al-Baqara,The Cow,Medinan,"It is He Who hath created for you all things that are on earth; Moreover His design comprehended the heavens, for He gave order and perfection to the seven firmaments; and of all things He hath perfect knowledge.",2,29,2:29,1,1,5,2,FALSE,,,
2,37,البقرة,Al-Baqara,The Cow,Medinan,"Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""",2,30,2:30,1,1,6,2,FALSE,,,
2,38,البقرة,Al-Baqara,The Cow,Medinan,"And He taught Adam the names of all things; then He placed them before the angels, and said: ""Tell me the names of these if ye are right.""",2,31,2:31,1,1,6,2,FALSE,,,
2,39,البقرة,Al-Baqara,The Cow,Medinan,"They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""",2,32,2:32,1,1,6,2,FALSE,,,
2,40,البقرة,Al-Baqara,The Cow,Medinan,"He said: ""O Adam! Tell them their names."" When he had told them, Allah said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""",2,33,2:33,1,1,6,2,FALSE,,,
